leaid,district_name,fips_state,total_revenue,federal_revenue,state_local_revenue,state_abbr,saipe_district_name,total_pop,child_poverty_est,child_pop,pct_child_poverty
4814730,COMAL IND SCH DISTRICT 902,48,435417,22457,412960,TX,Crosbyton Consolidated Independent School District,1914,136,347,39.19
4814730,COMAL IND SCH DISTRICT 902,48,435417,22457,412960,TX,Comal Independent School District,193618,2547,33813,7.53
4826430,LAKE DALLAS IND SCH DISTRICT 912,48,65730,3816,61914,TX,Spur Independent School District,1443,36,179,20.11
4826430,LAKE DALLAS IND SCH DISTRICT 912,48,65730,3816,61914,TX,Lake Dallas Independent School District,28645,313,4706,6.65
4834920,PILOT POINT IND SCH DIST 903,48,26812,1865,24947,TX,Rocksprings Independent School District,1163,62,189,32.80
4834920,PILOT POINT IND SCH DIST 903,48,26812,1865,24947,TX,Pilot Point Independent School District,10291,158,1687,9.37
4845240,WESTHOFF IND SCH DIST 905,48,2278,304,1974,TX,Westhoff Independent School District,482,12,71,16.90
4834380,PATTON SPRINGS SCH DISTRICT 906,48,1950,225,1725,TX,Rocksprings Independent School District,1163,62,189,32.80
4834380,PATTON SPRINGS SCH DISTRICT 906,48,1950,225,1725,TX,Patton Springs Independent School District,282,15,41,36.59
4838820,SAN DIEGO IND SCH DIST 902,48,25073,6390,18683,TX,Rocksprings Independent School District,1163,62,189,32.80
4838640,SAM RAYBURN IND SCH DIST,48,8986,645,8341,TX,Rocksprings Independent School District,1163,62,189,32.80
4838640,SAM RAYBURN IND SCH DIST,48,8986,645,8341,TX,Sam Rayburn Independent School District,2757,39,424,9.20
4823460,HONEY GROVE IND SCH DIST 907,48,13037,2308,10729,TX,Spur Independent School District,1443,36,179,20.11
4823460,HONEY GROVE IND SCH DIST 907,48,13037,2308,10729,TX,Honey Grove Independent School District,3858,99,696,14.22
4826100,LA GRANGE IND SCH DISTRICT 902,48,27888,2916,24972,TX,Spur Independent School District,1443,36,179,20.11
4826100,LA GRANGE IND SCH DISTRICT 902,48,27888,2916,24972,TX,La Grange Independent School District,12514,297,2049,14.49
4817070,DICKINSON IND SCH DISTRICT 901,48,190939,21439,169500,TX,Crosbyton Consolidated Independent School District,1914,136,347,39.19
4817070,DICKINSON IND SCH DISTRICT 901,48,190939,21439,169500,TX,Dickinson Independent School District,71484,2173,12502,17.38
4839270,SANTA FE IND SCH DISTRICT 909,48,60048,4878,55170,TX,Rocksprings Independent School District,1163,62,189,32.80
4839270,SANTA FE IND SCH DISTRICT 909,48,60048,4878,55170,TX,Santa Fe Independent School District,28070,621,4972,12.49
