ceeb,school_name,state,sector,rigor_score_default,rigor_tier_default,rigor_score_scenarioA,rigor_tier_scenarioA,ib_intensity_v2
053557,Soledad High,CA,public,-0.710633268651099,Average,-0.6996822664529394,Below Average,0.0
053558,Mother Lode Christian HS,,private,,,,,
053560,Summerville High,CA,public,-0.6879471150859634,Average,-0.6466657759927134,Below Average,0.0
053563,Roselawn High,CA,public,-1.324147555094183,Below Average,-0.644538126613877,Below Average,0.0
053564,Turlock Christian HS,,private,-1.0587580904637723,Below Average,-1.0587580904637723,Below Average,
053565,Turlock High,CA,public,-0.39996097907395656,Average,-0.4474207251591479,Average,0.0
053566,California Lutheran High Schl,,private,0.3969827829847689,Demanding,0.3969827829847689,Demanding,
053567,Ability Plus School Inc.,,private,,,,,
053570,Tustin High,CA,public,-0.2174499861690498,Average,-0.265704118170549,Average,0.0
053575,Twentynine Palms High,CA,public,-0.7119200525627576,Average,-0.6736075880056415,Below Average,0.0
053577,Templeton Independent Study High,CA,public,-1.255084796847926,Below Average,-0.6149398016511953,Below Average,0.0
053579,Weber Institute,CA,public,-0.7194431714203715,Average,-0.5068569473597444,Average,0.0
053580,Ukiah High,CA,public,-0.12686186915042405,Average,-0.12062554031903083,Average,0.0
053582,Upland Christian School,,private,,,,,
053585,Western Christian Schools,,private,-0.23139994979965522,Average,-0.23139994979965522,Average,
053586,Upland High,CA,public,-0.0018688476451765752,Demanding,-0.047028957092882864,Average,0.0
053588,Oak Hill School,,private,,,,,
053590,Upper Lake High,CA,public,-0.4307706422101263,Average,-0.5020264703447098,Average,0.0
053593,Vacaville Christian High Schl,,private,0.1980508955829745,Demanding,0.1980508955829745,Demanding,
053594,Faith Academy,,private,,,,,
053595,Vacaville High,CA,public,0.2053778889128901,Demanding,0.02358066302461742,Demanding,0.0
053596,Buckingham Collegiate Charter Academy,CA,public,-0.3656269120269938,Average,-0.3715912100618635,Average,0.0
053597,Will C. Wood High,CA,public,-0.29422640380124876,Average,-0.30058350108842646,Average,0.0
053598,Scotts Valley High,CA,public,-0.16642367850262982,Average,1.3825188052569513,Very Demanding,0.44189852700491
053599,Middle College High,CA,public,1.5231715698477963,Most Demanding,0.7765804642170882,Very Demanding,0.0
053601,John Finney High (Continuation),CA,public,-1.324147555094183,Below Average,-0.644538126613877,Below Average,0.0
053602,North Hills Christian School,,private,,,,,
053604,ST PATRICK-ST VINCENT HIGH SCHOOL,CA,private,0.23072956285047408,Demanding,0.1576174392296498,Demanding,0.0
053607,Village Glen Valley,,private,,,,,
053608,Valencia High,CA,public,0.4859974228587056,Demanding,0.44298889567627087,Demanding,0.0
