guid,name,city,ceeb,ceeb_padded,suspected_counterpart_ceeb,custom_id
c46901d3-8be6-4ecf-92d8-10d17a78aa0b,Escuela Juan J Osuna,San Juan,542320,542320,054232,0021959
8a61b50c-e894-3976-12ea-e38428040b17,Escuela Lysander Borrero Terry,Villalba,540230,540230,054023,3744573
a2eacc1b-3c60-419e-ac14-90a516a0a533,Escuela Ramon Pwr Y Grlt Sn Jn,Santurce,545270,545270,054527,0021954
2fa7028e-1638-4634-8a1c-b3feefbd6768,Escuela Secundaria Univ De Pr,San Juan,544760,544760,054476,0021998
87356f25-7c0e-4925-8f94-440a27ed36e3,Escuela Sup Miguel Melendez Munoz,Cayey,541430,541430,054143,0021904
ae55f353-b571-46ab-a08e-d4bc4f289df4,Escuela Sup Stella Marqz Mrls,Salinas,544920,544920,054492,0021916
41992b00-8eff-4c20-a218-1ad88f5dc6d5,Escuela Super Dr Jose Gandara,San Juan,540400,540400,054040,0021786
1b48d1a6-39f6-43b0-8fb4-86dcecc0e67e,Escuela Superior Com Luis Munoz Marin,Anasco,546740,546740,054674,0021865
9e867f6c-1cb2-48b1-9f5e-359a9b50f7ab,Escuela Superior Las Delicias,Coto Laurel,544090,544090,054409,0021902
42bde983-ec55-4527-be24-42724d13867e,Escuela Superior Pedro Falu,Rio Grande,544280,544280,054428,0021914
42b95ef0-ab9d-563a-60cd-dbf91995557f,Escuela Superior Petra Mrc Bgt,Humacao,540210,540210,054021,
dfd274f4-6f54-4a90-926e-347593e913e9,Escuela Superior Vocacional,Rio Piedras,544640,544640,054464,0021997
78395371-99d1-49a3-9a24-c7953ee89b60,Esquela Sup Lor Coba Gandia,Hatillo,542230,542230,054223,0021826
b150062e-9e30-46d4-a5cc-00ea18f6dadf,Ethan High School,Ethan,420400,420400,042040,0022634
d0b816d4-97f9-c092-862f-394d06888e18,Eucon International School,Saipan,529050,529050,052905,
d11f9d96-c43e-4e92-8fdf-9dba256f955c,Eugenio Maria De Hostos H S,Mayaguez,543280,543280,054328,0021851
af4171b5-753c-4539-9664-4a0e957cd218,Eva Y Patria Custodio Franqui,Las Marias,542960,542960,054296,0021837
61834985-8946-49d9-b7e8-8f7fe63bbbd6,Evangelical Christian Academy,Chalan Pago,525150,525150,052515,OID16318
0e30ae41-0806-4993-973a-5bfcbff24222,F J Turner High School,Beloit,500190,500190,050019,0026896
8c1de20f-a7d5-4890-bdbf-b4122628a875,Faga'itua High School,Pago Pago,520030,520030,052003,0001423
6df70d96-88a0-49e5-b243-378fff795430,Fall Creek Senior High School,Fall Creek,500640,500640,050064,0027217
7147925a-cf8c-4ab9-9778-4e47d5a9b563,Fall Mountain Reg High School,Langdon,300000,300000,030000,0015996
f081abee-79f2-4433-b78c-4fe4244ff058,Farson-Eden School,Farson,510140,510140,051014,0027643
