ibo_school_id,ib_name,offers_dp,offers_cp,offers_myp,offers_pyp,programmes,ncessch,nces_name,city,state
1395,Hillcrest High School,t,t,f,f,"DP, CP",0501010,HILLCREST HIGH SCHOOL,STRAWBERRY,AR 
51680,Hillcrest High School,t,f,f,f,DP,0101766,Hillcrest High School,Evergreen,AL 
51680,Hillcrest High School,t,f,f,f,DP,1700365,Hillcrest High School,Country Club Hills,IL 
51680,Hillcrest High School,t,f,f,f,DP,3601965,HILLCREST HIGH SCHOOL,JAMAICA,NY 
51680,Hillcrest High School,t,f,f,f,DP,4702466,Hillcrest High School,Memphis,TN 
51680,Hillcrest High School,t,f,f,f,DP,1600024,HILLCREST HIGH SCHOOL,AMMON,ID 
51680,Hillcrest High School,t,f,f,f,DP,0100052,Hillcrest High School,Tuscaloosa,AL 
51680,Hillcrest High School,t,f,f,f,DP,0501010,HILLCREST HIGH SCHOOL,STRAWBERRY,AR 
4591,Hill-Freedman World Academy,t,f,t,f,"MYP, DP",,,,
2131,Hillsboro Comprehensive High School,t,t,t,f,"MYP, DP, CP",,,,
1396,Hillsboro High School,t,f,f,f,DP,3800302,HILLSBORO HIGH SCHOOL,Hillsboro,ND 
1396,Hillsboro High School,t,f,f,f,DP,1702206,Hillsboro High School,Hillsboro,IL 
1396,Hillsboro High School,t,f,f,f,DP,3901059,Hillsboro High School,Hillsboro,OH 
1396,Hillsboro High School,t,f,f,f,DP,4101252,Hillsboro High School,Hillsboro,OR 
601,Hillsborough High School,t,f,f,f,DP,1200960,HILLSBOROUGH HIGH SCHOOL,TAMPA,FL 
601,Hillsborough High School,t,f,f,f,DP,3405222,Hillsborough High School,Hillsborough,NJ 
992,Hillside High School,t,f,t,f,"MYP, DP",3405540,Hillside High School,HILLSIDE,NJ 
49104,Hillside Middle School,f,f,t,f,MYP,3300251,Hillside Middle School,Manchester,NH 
